Date,Facebook Page reach
2022-05-01T00:00:00,9
2022-05-02T00:00:00,33
2022-05-03T00:00:00,30
2022-05-04T00:00:00,39
2022-05-05T00:00:00,186
2022-05-06T00:00:00,130
2022-05-07T00:00:00,52
2022-05-08T00:00:00,77
2022-05-09T00:00:00,95
2022-05-10T00:00:00,36
2022-05-11T00:00:00,36
2022-05-12T00:00:00,36
2022-05-13T00:00:00,32
2022-05-14T00:00:00,20
2022-05-15T00:00:00,27
2022-05-16T00:00:00,23
2022-05-17T00:00:00,68
2022-05-18T00:00:00,36
2022-05-19T00:00:00,36
2022-05-20T00:00:00,121
2022-05-21T00:00:00,35
2022-05-22T00:00:00,42
2022-05-23T00:00:00,61
2022-05-24T00:00:00,103
2022-05-25T00:00:00,171
2022-05-26T00:00:00,55
2022-05-27T00:00:00,35
2022-05-28T00:00:00,21
2022-05-29T00:00:00,16
2022-05-30T00:00:00,20
2022-05-31T00:00:00,40
2022-06-01T00:00:00,22
2022-06-02T00:00:00,100
2022-06-03T00:00:00,43
2022-06-04T00:00:00,119
2022-06-05T00:00:00,74
2022-06-06T00:00:00,113
2022-06-07T00:00:00,49
2022-06-08T00:00:00,62
2022-06-09T00:00:00,295
2022-06-10T00:00:00,86
2022-06-11T00:00:00,37
2022-06-12T00:00:00,42
2022-06-13T00:00:00,31
2022-06-14T00:00:00,33
2022-06-15T00:00:00,37
2022-06-16T00:00:00,62
2022-06-17T00:00:00,37
2022-06-18T00:00:00,23
2022-06-19T00:00:00,59
2022-06-20T00:00:00,25
2022-06-21T00:00:00,24
2022-06-22T00:00:00,23
2022-06-23T00:00:00,29
2022-06-24T00:00:00,16
2022-06-25T00:00:00,21
2022-06-26T00:00:00,99
2022-06-27T00:00:00,37
2022-06-28T00:00:00,33
2022-06-29T00:00:00,31
2022-06-30T00:00:00,27
2022-07-01T00:00:00,21
2022-07-02T00:00:00,15
2022-07-03T00:00:00,16
2022-07-04T00:00:00,18
2022-07-05T00:00:00,19
2022-07-06T00:00:00,30
2022-07-07T00:00:00,18
2022-07-08T00:00:00,17
2022-07-09T00:00:00,17
2022-07-10T00:00:00,9
2022-07-11T00:00:00,54
2022-07-12T00:00:00,18
2022-07-13T00:00:00,30
2022-07-14T00:00:00,237
2022-07-15T00:00:00,122
2022-07-16T00:00:00,77
2022-07-17T00:00:00,61
2022-07-18T00:00:00,238
2022-07-19T00:00:00,91
2022-07-20T00:00:00,228
2022-07-21T00:00:00,85
2022-07-22T00:00:00,80
2022-07-23T00:00:00,41
2022-07-24T00:00:00,27
2022-07-25T00:00:00,18
2022-07-26T00:00:00,21
2022-07-27T00:00:00,19
2022-07-28T00:00:00,83
2022-07-29T00:00:00,1478
2022-07-30T00:00:00,250
2022-07-31T00:00:00,189
2022-08-01T00:00:00,204
2022-08-02T00:00:00,96
2022-08-03T00:00:00,66
2022-08-04T00:00:00,64
2022-08-05T00:00:00,373
2022-08-06T00:00:00,1046
2022-08-07T00:00:00,217
2022-08-08T00:00:00,237
2022-08-09T00:00:00,71
2022-08-10T00:00:00,45
2022-08-11T00:00:00,103
2022-08-12T00:00:00,120
2022-08-13T00:00:00,46
2022-08-14T00:00:00,31
2022-08-15T00:00:00,33
2022-08-16T00:00:00,931
2022-08-17T00:00:00,295
2022-08-18T00:00:00,140
2022-08-19T00:00:00,131
2022-08-20T00:00:00,57
2022-08-21T00:00:00,37
2022-08-22T00:00:00,51
2022-08-23T00:00:00,1191
2022-08-24T00:00:00,445
2022-08-25T00:00:00,262
2022-08-26T00:00:00,223
2022-08-27T00:00:00,116
2022-08-28T00:00:00,78
2022-08-29T00:00:00,48
2022-08-30T00:00:00,44
2022-08-31T00:00:00,39
2022-09-01T00:00:00,103
2022-09-02T00:00:00,42
2022-09-03T00:00:00,30
2022-09-04T00:00:00,44
2022-09-05T00:00:00,27
2022-09-06T00:00:00,41
2022-09-07T00:00:00,398
2022-09-08T00:00:00,237
2022-09-09T00:00:00,121
2022-09-10T00:00:00,127
2022-09-11T00:00:00,56
2022-09-12T00:00:00,69
2022-09-13T00:00:00,60
2022-09-14T00:00:00,43
2022-09-15T00:00:00,38
2022-09-16T00:00:00,26
2022-09-17T00:00:00,32
2022-09-18T00:00:00,188
2022-09-19T00:00:00,81
2022-09-20T00:00:00,40
2022-09-21T00:00:00,99
2022-09-22T00:00:00,71
2022-09-23T00:00:00,50
2022-09-24T00:00:00,55
2022-09-25T00:00:00,28
2022-09-26T00:00:00,37
2022-09-27T00:00:00,24
2022-09-28T00:00:00,24
2022-09-29T00:00:00,33
2022-09-30T00:00:00,37
2022-10-01T00:00:00,19
2022-10-02T00:00:00,36
2022-10-03T00:00:00,28
2022-10-04T00:00:00,2199
2022-10-05T00:00:00,883
2022-10-06T00:00:00,328
2022-10-07T00:00:00,490
2022-10-08T00:00:00,221
2022-10-09T00:00:00,123
2022-10-10T00:00:00,91
2022-10-11T00:00:00,76
2022-10-12T00:00:00,46
2022-10-13T00:00:00,51
2022-10-14T00:00:00,44
2022-10-15T00:00:00,45
2022-10-16T00:00:00,35
2022-10-17T00:00:00,39
2022-10-18T00:00:00,133
2022-10-19T00:00:00,80
2022-10-20T00:00:00,290
2022-10-21T00:00:00,126
2022-10-22T00:00:00,65
2022-10-23T00:00:00,63
2022-10-24T00:00:00,41
2022-10-25T00:00:00,32
2022-10-26T00:00:00,646
2022-10-27T00:00:00,334
2022-10-28T00:00:00,328
2022-10-29T00:00:00,133
2022-10-30T00:00:00,75
2022-10-31T00:00:00,65
2022-11-01T00:00:00,55
2022-11-02T00:00:00,81
2022-11-03T00:00:00,40
2022-11-04T00:00:00,38
2022-11-05T00:00:00,40
2022-11-06T00:00:00,28
2022-11-07T00:00:00,23
2022-11-08T00:00:00,23
2022-11-09T00:00:00,36
2022-11-10T00:00:00,56
2022-11-11T00:00:00,19
2022-11-12T00:00:00,19
2022-11-13T00:00:00,62
2022-11-14T00:00:00,223
2022-11-15T00:00:00,61
2022-11-16T00:00:00,44
2022-11-17T00:00:00,93
2022-11-18T00:00:00,53
2022-11-19T00:00:00,31
2022-11-20T00:00:00,25
2022-11-21T00:00:00,23
2022-11-22T00:00:00,186
2022-11-23T00:00:00,52
2022-11-24T00:00:00,19
2022-11-25T00:00:00,21
2022-11-26T00:00:00,18
2022-11-27T00:00:00,16
2022-11-28T00:00:00,13
2022-11-29T00:00:00,418
2022-11-30T00:00:00,151
2022-12-01T00:00:00,111
2022-12-02T00:00:00,84
2022-12-03T00:00:00,32
2022-12-04T00:00:00,12
2022-12-05T00:00:00,35
2022-12-06T00:00:00,20
2022-12-07T00:00:00,29
2022-12-08T00:00:00,24
2022-12-09T00:00:00,33
2022-12-10T00:00:00,21
2022-12-11T00:00:00,24
2022-12-12T00:00:00,22
2022-12-13T00:00:00,19
2022-12-14T00:00:00,242
